clean_text,label,id
sayang sekali punya paras nan cantik kumpul sama cowok gembel dibawa gembel mau makanya suka gengsi kalau mau pacaran eh lihat difoto fotonya ada sama cowok gembel nongkrong pinggir jalan apa enggak malu ya xf x f x x percuma cantik kalau otaknya murah xf x f x x,abusive,44
solo rank di comeback dan sakit xf x f x x aku baru tau kalau tank takut war xf x f x x dan dan hilda cacat xf x f x x emosi bangkai xf x f x x,abusive,45
teko o rek dan maksudnya bukan arek tapi perek,pelecehan seksual,46
udik sambil takjub begitu dan ngileeee canggih iya mobil sekarang berasa naik kit reader knight rider starring david hasselhoff bisa marah dan mengerem sendiri,abusive,47
berita islam rabi israel sebut orang berkulit hitam sebagai xe x x cmonyet xe x x di picu kecaman keras uniform resource locator,abusive,48
boikot indosat ini sih kuning tai pulsa pagi tadi rupiah an masih kepotong juga tinggal rupiah padahal tidak di apa benar tidak menghargai pelanggan sepertinya budek taiiiii,abusive,49
catat terima kasih sudah menjadi orang idiot pertama dan terakhir yang membuka hatiku untuk mengerti apa itu persahabatan,abusive,50
indonesia lawyers club prabowo menyerang indonesia lawyers club sukses undang orang gila karena ahok kalah sampai lupa potong kuping gila gila gila gila gila benaran xf x f x x,abusive,51
indonesia lawyers club prabowo menyerang setelah minggu lalu indonesia lawyers club tidak mutu kini sangat luar biasa karena dapat menghadirkan orang gila tanpa kuping xf x f x xb,abusive,52
open bo surabaya pengguna masih online saja kamu sempak akun tipu bangsat bajingan kau,pelecehan seksual,53
persija takut kalah di jakarta dasar persija dengkul laler banyak alasan kamu the jack anjing olo olo kamu banyak bacot,abusive,54
rlp di sini banyak yeoja yang friends with benefit ngentot rl amp foreplay cuma memberi tai,pelecehan seksual,55
rlp yeoja cantik culik gue dong bawa ke rumah kamu gue menguntungkan kamu tar bisa ngentot puas nya teruskan bisa di sembelihkan diri kok,pelecehan seksual,56
teman makan teman itu ketika ujian dia tidak tahu dan kita memberi tahu tetapi pas kita tidak tahu dia pura budek kalau di panggil pengguna pengguna reuni,abusive,57
teman makan teman ketika dia sudah janji akan memberi menyontek untuk ujian tetapi pas giliran ujian dia malah pura budek pengguna pengguna reuni,abusive,58
di kantor televisi menayangkan berita driver grab yang mengirim death threat ke cewek tuli bunda pakai suara kecil tai sampai di death threat begitu sial dan dan dan dan dan kish kebiasaan kamu berbicara jorok untung kamu mengomongnya pakai suara yang kecil,abusive,59
di mal pak mama aku hilang security bentar ya cek cek pengumuman kamu orang tua anjing yang merasa kehilangan,abusive,60
aduh lucu banget adik kelas gue pas sama laporan katanya bang hari ini kita field trip ke taman safari heran sudah menyebut nama temannya dia mau arisan sama keluarganya saja bawa sekolahan dan tai arisan,abusive,61
pengguna ya i stalked haha i memang suka stalk orang bodoh nak tengok sejauh mana kebodohan dia,abusive,62
pengguna pak cik sudah tua nak apalah kuadrat pak cik nih boleh buat sepakat pakai kopiah meminta sedekah jual kismis dan dan pak cik muda lagi bila pak cik warna rambut kuning bawa duit banyak dan dan kita oke kan dan nini adalah anjing begitu begitu begitu xf x f x xbc xf x f x xbc xf x f x xbc,abusive,63
pengguna barisan banci kamera kalau kata anak zaman now adalah xf x f x x,abusive,64
pengguna kamu itu yang bencong bacot kamu lebih dari cewek kayak banci yang mengamen tidak dikasih duit bacotnya xf x f x x xf x f x x xf x f x x mending kamu cakap adalah jelek kayak begitu masa depan suram lagi xf x f x x xf x f x x mentioned gue langsung di kutipan twit xf x f x x e xf x f x x e,abusive,65
pengguna udik kamu,abusive,66
pengguna bangkai tiponya parah betul anjir dan tidak lihat gue chuw,abusive,67
pengguna kasihan banget anjing,abusive,68
pengguna memang udik bfjgfdg tidak mengerti sama bocah satu itu,abusive,69
pengguna anjir lucu banget animasinya di dewa,abusive,70
pengguna kalau tidak mau macet pulang saja kamu ke kampung sana dasar orang udik masih nyeri makan sama buang tai saja mendengarkan lagu anak jakarta asyik asyik,abusive,71
pengguna pengguna pengguna pengguna pengguna pengguna pengguna pengguna pengguna pengguna pengguna xf x f x x f xf x f x x f xf x f x x fbukan kampret tapi kecoa yang hidupnya makan tai semakin besar bikin penyakit xf x f x x xf x f x x xf x f x x cebong mulia semakin besar basmi nyamuk hilangkan penyakit xf x f x x c xf x f x x c xf x f x x cmakanye kecoa itu adek obat pembasmi kecoa xf x f x x xf x f x x xf x f x x,abusive,72
pengguna haha lancar semua nih babi betul sudah lah nak sambung kerja,abusive,73
pengguna anjir paypal anjing banget mengena fee nya ke aku,abusive,74
pengguna kampret nih sih jimmy kamu dapat duit dari meniru ulama ulama malah kamu goblok in kamu yang goblok bin bahlul lebih baik kamu copot itu atribut palsu kamu ganti seragam cebong kamu akan mati sengsara di azab sama allah amin dan kamu lihat saja nanti,abusive,75
pengguna video call sex yuk tante kontol gede nih,pelecehan seksual,76
pengguna pengguna pengguna pengguna pengguna bukan cuma bangsa bajingan anjing babi goblok itu jauh lebih tepat,abusive,77
pengguna pengguna pengguna jadi prabowo presidennya televisi one makanya yang diundang selalu pentolan para kampret dan gembel warung internet haha,abusive,78
pengguna pengguna pengguna kelihatan asal bunyi susilo bambang yudhoyono tidak pernah dukung jokowi tong demokrat masuk oposisi waduh kok tambah kelihatan ngawur begini gembel warung internet yang satu ini haha,abusive,79
pengguna tidak kreatif lu kunyuk,abusive,80
pengguna tertawa mulu kamu kunyuk,abusive,81
pengguna pengguna pengguna pengguna pengguna pengguna twit gue masih udik kayaknya masih perlu dididik lebih keras lagi,abusive,82
pengguna pengguna maaf sebenarnya twitter pertama kali dibuat bukan buat orang bego,abusive,83
pengguna bukan banci tapi benar benar banci,abusive,84
pengguna kayak tai congor jablay lebar kayak anjing,pelecehan seksual,85
pengguna pengguna babi lah terkejut xf x f x xad xf x f x xad xf x f x xad,abusive,86
pengguna ah anjir favorit gue banget,abusive,87
pengguna haha bikin yang menonton pada ikutan sarap seperti dadan kalau sudah main gitar,pelecehan seksual,88
pengguna pengguna gue malih rupa dulu ah jadi kampret biar di follow pengguna terus nanti di selimuti tai tetapi jangan di meniduri ya xf x f x x,abusive,89
pengguna pengguna mengakuinya orang pintar dan beragama memangnya agama mana yang memperbolehkan menista dan menghujat orang lain jangankan orang bodoh orang yang maaf sejak lahir idiot sekalipun dia kita harus hargai sebagai sesama ciptaan tuhan ingat iblis itu juga pintar dan sangat licik,abusive,90
pengguna pengguna pengguna sih kunyuk pengguna dan para penyembahnya yang bilang ahok menista agama phuahahaha bilang sih kunyukk itu kalau mau jadi laki ya jadilah laki yang sempurna yang tidak bermental pecundang,pelecehan seksual,91
pengguna woiii kampret geli gue lihat kamu belaga amat jadi orang songong meminta di penci jidat kamu ha,abusive,92
pengguna enak itu ngentot sama straight,pelecehan seksual,93
pengguna pengguna kecoa Cuma mlongo nya kamu yang suka di got tai xf x f x x c xf x f x x c xf x f x x c sepertinya kecoa senangnya makan tai makanya banyak di septi tank xf x f x x xf x f x x xf x f x x xf x f x x,abusive,94
pengguna pengguna pengguna yang juara menipu kan junjungan kalian wahai bani kampret,abusive,95
pengguna bajingan memang indosat,abusive,96
pengguna apalah kamu ini benar bangsat bodoh tolol bajingan tengik,abusive,97
pengguna babi kamulah maju kamu sini anjinggg,abusive,98
pengguna pengguna pengguna mampus kamu gembel kalah debat kan sama anak kecil kelihatan bahwa kamu itu kaum cetek tau artinya kaum yang pikirannya dangkal dan sifatnya memaksakan argumennya diterima padahal bodoh,abusive,99
pengguna apakah terlihat surat pemberitahuan tahunan banci uniform resource locator,abusive,100
pengguna pengguna pengguna pengguna titip bogem saja bro dibiarkan ngelunjak itu kunyuk,abusive,101
pengguna pengguna bangkai kamu,abusive,102
pengguna meminta maaf tidak ada tampang menyesal itu orang bangkai,abusive,103
pengguna pengguna bukan kayak orang bego bro tapi memang b ego,abusive,104
pengguna haha macam babi ayat pandai tak berotak,abusive,105
pengguna direct message di memek maksudnya telur,pelecehan seksual,106
pengguna enak itu kalau muncratnya di dalam memek kamu,pelecehan seksual,107
pengguna pengguna pengguna pengguna memang bego pakai tag gue,abusive,108
pengguna bacot kamu diam,abusive,109
pengguna dia sebenarnya punya akun pir di akun satunya it cerita pendek tapi jelas dan berengsek kemarin pas aku baca masih ada cerita dan aku baca semuanya sekaligus tetapi sekarang sudah di tidak dipublikasikan semua,abusive,110
pengguna persib nya lagi jelek persija bagus sih tapi goblok,abusive,111
pengguna pengguna goblok permanen xf x f x xad,abusive,112
pengguna pengguna tak weh aku bukan yang ambek kesah pasal kerajaan pesemua nih buat bodoh je as long as aku hidup tenang tanpa beban cukup,abusive,113
pengguna mantap memek nya jadi crot nih ooohhhhh lemas,pelecehan seksual,114
pengguna demi apapun ah alah gembel banget belum sempat screenshot,pelecehan seksual,115
pengguna oh scamming ya urus lah bego orang kamu butuh,abusive,116
pengguna pengguna pengguna makanya banyak bergaul ya bro bukan digauli ya wkwk tahun dikhianati coy sakitnya di telor mau kencing onta mau tai babi suka suka kamu bro yang penting tidak intelligence quotient sekolam lah bro haha,abusive,117
pengguna pengguna pengguna pengguna laknat sama siapa tuhan kamu doakan gue dan ndoa orang tolol dan buta tak diterima tuhan masa doakan di laknat mungkin saja cacian dan disrespect orang sama kamu itu laknatnya tuhan sama kamu hahahhahahhah nkasihan ya orang indonesia sekolah subsidi ilmu abal,abusive,118
pengguna pengguna pengguna pengguna eh kunyuk itu yang mengembat dana umrah kamu diam saja apa ikut kebagian ya,abusive,119
pengguna pengguna pengguna pengguna pengguna baca mulai dari judulnya monyet biar tidak jadi domba idiot,abusive,120
pengguna pengguna pengguna pernah dengar dulu sebelum ada rumor itu katanya memang ada yang namanya matthew tapi bukan orang indonesia nah itu dia yang bikin bingung tiba tiba muncul nama matthew soeharsono yang sekolah di sini rumahnya di sini sampai make foto martin tai kan,abusive,121
pengguna pengguna bukannya dia pengguna juga tuak berarti dia berengsek juga xf x f xa x xf x f xa x,abusive,122
pengguna pengguna pengguna pengguna pengguna pengguna pengguna pengguna menambah bisa menyewa pecun,pelecehan seksual,123
pengguna baca berulang ulang tetap tidak mengerti gara gara libur terus jadi goblok lama lama,abusive,124
pengguna pengguna permintaan maaf sih kunyuk ini tidak ada artinya otaknya tetap saja nyinyir,abusive,125
pengguna heran juga saya setan iblis pada kabur dan takut kalau mendengar azan tapi ini makhluk allah yang satu ini anteng saja dengar azan bahkan pura budek kupingnya kalah dong setan iblis,abusive,126
pengguna wkwk sompret anjir nasib sama sama buruk begitu tertawa bangsat,abusive,127
pengguna pengguna pengguna tolol dia tidak ada sangku pautnya apa kamu bilang pengecut dasar tolol,abusive,128
pengguna sini aku jilati sayang memek mu,pelecehan seksual,129
pengguna pengguna pengguna awalnya sudah tau sih tetapi enggak peka sampai begini dan gara gara shooky jadi buram warna warni begini videonya haha berbicara sendiri macam orang sarap v dan xf x f x x xf x f x x xf x f x x,abusive,130
pengguna pengguna pengguna pengguna pengguna kemarin galak kalau berbicara sekarang sibuk klarifikasi dasar bajingan,abusive,131
pengguna pengguna pengguna pengguna pengguna lagian nih kunyuk kenapa meributkan kawinan anak jokowi yang sudah berapa bulan iya l memakai ini adalah,abusive,132
pengguna pengguna pengguna pengguna pengguna kunyuk mukamu kalau mau bacot tidak pikir dulu percuma kamu duduk du dewan,abusive,133
pengguna manis anjir tidak kuat gue le,abusive,134
pengguna alay tai kayak bocah sekolah dasar wkwk,abusive,135
pengguna bacot banget bangsat,abusive,136
pengguna bacot kamu jakarta,abusive,137
pengguna bodoh amati saja yang kayak begitu makin dikasih perhatian bakal makin menjadi jadi,abusive,138
pengguna humor anjir wkwk,abusive,139
pengguna kalau aku bodoh amat in atau melakukan hal yang disuka buat nge distract dari pikiran begitu,abusive,140
pengguna lagi membela diri sekaligus mencari pembelaan ini itu sekalian cari sensasi juga ya dan gua kalau jadi kamu tidak bangga belajar mata pelajaran doang anjing,abusive,141
pengguna pisang apaan anjing gede banget,abusive,142
pengguna sama anjir menurut gue sudah benar banget tapi ternyata apes,abusive,143
pengguna sumpah ya paling tidak suka sama orang norak begini kalau ingin berisik sewa saja itu satu studio tak tau diri udik ngewe,pelecehan seksual,144
pengguna tak perlu dibajak bacot kamu babi mending kita gelut saja,abusive,145
pengguna tolol kamu anjing,abusive,146
pengguna mengambang kayak tai jir,abusive,147
pengguna pengguna bodoh amat akun cape,abusive,148
pengguna dunia kan penuh munafik sok suci seperti kamu kalau semisal itu ahok pasti kamu bilang kalau tidak salah kenapa kabur tapi karena itu sih cabul adalah sih jijik kamu jilat memek sendiri kamu bohongi diri sendiri kamu tidak bertanya kenapa kabur kalau tidak salah memek busuk,pelecehan seksual,149
pengguna pengguna sama saja ku ber kunyuk,abusive,150
pengguna iya kampungan alay adalah kalau menonton bola ke singapura sama johor malaysia uniform resource locator,abusive,151
pengguna banci kampungan heeee,abusive,152
pengguna jokowi tai anjing,abusive,153
pengguna pengguna setelah mengantar anak sekolah lihat dunia maya eh kok ada kalimat yang pas untuk gembel warung internet makanya langsung aku cc in biar tidak lupa xf x f x x xf x f x x xf x f x x,abusive,154
pengguna haha babi migrain aku plak twit caring betul dekat babi iya lah hg reply twit aku lepas keluarkan brim tadi nih good timing,abusive,155
pengguna manusia tolol semua pada takut ahok keluar kasihan banget hidup kalian di sana begitu idiot and bodoh,abusive,156
pengguna pengguna pengguna pengguna muka kamu mirip monyet,abusive,157
pengguna apakkk kamu babi xf x f x x xf x f x x,abusive,158
pengguna wah berengsek nih ketahuan yang punya bisa mampus aku,abusive,159
pengguna itu pisang bule mana kok tidak macam pakai profil kontol mr mr bule ya aku mau kontol km sayang,pelecehan seksual,160
pengguna pengguna pengguna yang bego pengguna nusantara,abusive,161
pengguna kapal kita karam monyet kasihan patah hati,abusive,162
pengguna victor baru sekali berkoar saja kalian sudah kayak kebakaran jenggot bagaimana kalau viktor berulang kali berkoar di sana sini di masjid di jalanan seperti sih banci pengguna guru besar kalian apa lagi viktor chat mesum pasti kalian bikin rusuh sedunia dasar munusia munafik,pelecehan seksual,163
pengguna adren mengerti apa yang dirasakan puan itu pasti sangat menyakitkan apalagi melihat kekasihnya bersama orang lain dan dan kamu harus tegar kamu tak boleh menangisi seorang bajingan yang tak sepantasnya kamu menangisi,abusive,164
pengguna pengguna dari seteru ayah anak mau menembak meleset eh kakaknya juga diincar sinting kan xf x f x x,abusive,165
pengguna he kontol jangan sok pemes kamu di rupiah muka kayak memek orang tua kamu kayak monyet agama kamu saja agama kontol,pelecehan seksual,166
pengguna bodoh anjir kenapa uangnya kayak begitu sih wkwk,abusive,167
pengguna karena kamu jb jbnya sudah siang coba tadi pagi pasti masih pagi iyakan tolong jangan goblok tang wkwk,abusive,168
pengguna udik benar kasihan mau ditiduri,pelecehan seksual,169
pengguna tai apa yang terakhir,abusive,170
pengguna pengguna sudah meminta maaf kunyuk pengguna bro dan enak banget rasan mereka sebar hoaks meminta maaf sebar hoaks lagi meminta maaf lagi dan mesti di sapu dulu pengguna biar jera nih orang uniform resource locator,pelecehan seksual,171
pengguna pengguna sudah tau bego tidak belajar jadi mau memaki goblok goblok kamu,abusive,172
pengguna pengguna tai kucing kamu ah pengecut,abusive,173
pengguna pengguna pengguna jual memek kok di media sosial dasar pecun,pelecehan seksual,174
pengguna pengguna yang bijak cuma petugas dan jajaran kereta listrik doang para penumpang cuma pengikut doang xe x xb xef xb x f menyuruh orang untuk mengerti sendirinya tidak mau mengerti kebutuhan banyak orang kan bangkai,abusive,175
pengguna jenggot bajingan,abusive,176
pengguna mampus kamu kunyuk,abusive,177
pengguna agamanya sempurna umatnya banyak yang pintar kok kenapa yang goblok terus yang berani bicara aduh,abusive,178
pengguna pengguna pengguna pengguna tidak penting ngapain kamu komen kan tolol xf x f x x xf x f x x xf x f x x,abusive,179
pengguna pengguna pengguna pengguna ketololan yang hakiki ditampilkan bong kalah menyolot tolol yang tidak bisa diobati xf x f x x xf x f x x xf x f x x,abusive,180
pengguna pengguna itu pabrik lokasi nya di belanda tolol kok di piara,abusive,181
pengguna masa tidak tau princess udik benar,abusive,182
pengguna gue cewek cantik kenapa rep an pada bilang gue monyet dah xf x f x x,abusive,183
pengguna maju kamu sini anjing gue mau namparinnnnn looooooo berengsek,abusive,184
pengguna karena kamu mirip tai xf x f x x,abusive,185
pengguna pengguna pengguna memang tolol sih cal jadi laki,abusive,186
pengguna tai jijik markojay,abusive,187
pengguna gue kan ujian nasional memilih sosiologi ya fi tetapi masa di sekolah pemantapannya semua mata pelajaran ilmu pengetahuan sosial harus diikuti kan agak bangkai,abusive,188
pengguna mukanya kayak meminta tolong anjir,abusive,189
pengguna pengguna ingin jilat memek,pelecehan seksual,190
pengguna tidak anjir,abusive,191
pengguna iya anjir tau wkwk masa iya gue masih suka sama dia,abusive,192
pengguna pengguna pengguna kamu bilang otak gue belatung bersarang ah eh banci bukannya itu isi otak dan hati kamu isinya belatung bangkai karena kebencian akut kamu xf x f xa xae xf x f xa xae xf x f xa xae xf x f xa xae,abusive,193
pengguna kiraan banci,abusive,194
pengguna enggak usah diingatkan dong kampret kamu,abusive,195
pengguna wkwk tolol,abusive,196
pengguna ada anjir hidup dimana kamu,abusive,197
pengguna anjing anjing asuuuu sih kuyaaaaaaaaaaaaa,abusive,198
pengguna dengan berat hati gue sales promotion girl in nih kunyuk satu uniform resource locator,abusive,199
pengguna pengguna pengguna pengguna pengguna pengguna pengguna pengguna pengguna pengguna pengguna pengguna pengguna hanya orang tolol dan idiot yang merasa bahaya kalau dengar kata xe x x chutang xe x x di dan dijadikan bahan bully pemerintah kritik presiden cukup katakan pak jangan sampai hutang menyebabkan cashflow negara negatif,abusive,200
pengguna pengguna pertanyaan tolol buktikan dong jangan cuma katanya saja,abusive,201
pengguna assalamualaikum siapa yang bela kristen penyembah bangkai yesus busuk itu tidak ada satupun yang bela kristen yang bodoh itu,abusive,202
pengguna wkwk tai tidak jadi nikah gue lagi bertengkar gue,abusive,203
pengguna kamu bau bangkai,abusive,204
pengguna sok ganteng banget sih bencong,abusive,205
pengguna pengguna pengguna udik banget sih cit sudah minum saja menjejalkan nic tinwedd,abusive,206
pengguna oh yang kayak begitu kalau nona anak jalanan km anak gembel ya,abusive,207
pengguna solusi haha dana haji diambil buat infrastruktur duit badan penyelenggara jaminan sosial buruh bahkan mau diambil juga rakyat semuanya diperas tapi masih meminta solusi juga goblok kamu memang penjilat tolol,pelecehan seksual,208
pengguna pengguna kemana saja sinting wkwk,abusive,209
pengguna yuhuuuu teman posko yang jadian pasang lo tapi ya begitu sepertinya hangat tai ayam xf x f x x kalau mb janah sih begitu bawa perasaannya bikin malas mengerjakan skripsi xf x f x x inginnya berkumpul terus sama teman haha not always bout love lo dek bawa perasaannya lebih ke kekeluargaan nya xf x f x x,abusive,210
pengguna belum anjir,abusive,211
pengguna kan belum anjir,abusive,212
pengguna ayo pilih alin saja alin itu bawel banget semuanya diomongi melihat banci dijalanan saja aku mengomongkan tapi baik kok,abusive,213
pengguna pengguna kiraan budek,abusive,214
pengguna pengguna pengguna pengguna pengguna sih apes banyak bacot,abusive,215
pengguna gede bacot gede cocot memang kamu turut andil dasar mulutnya bedebah kacung gerombolan jomlo akut sakit jiwa pengguna,abusive,216
pengguna goblok nih para alumni sampah,abusive,217
pengguna kayak banci kali ya,abusive,218
pengguna pengguna pengguna pengguna pengguna pengguna kamu bagai penyair yang sedang terluka hatinya rruarrr biasa by the way bangkai tikus saja bikin gue jijik bagaimana pula dengan bangkai setan,abusive,219
pengguna gue setan dong,abusive,220
pengguna ih banci selotipan xf x f x x,abusive,221
pengguna kenapa orang baik selalu dikasih cobaan dengan berhubung sama orang yang berengsek xf x f x x,abusive,222
pengguna ngentot yuk,pelecehan seksual,223
pengguna ingin ngentot kamu dong,pelecehan seksual,224
pengguna pengguna korban cuci otak mayjen k kunyuk,abusive,225
pengguna pengguna udik amat tidak bisa pecahkan balon wkwk,abusive,226
pengguna enteng banget sih rahangnya tolol tololin anak orang,abusive,227
pengguna pengguna pengguna admin pengguna ini memang kebangetan tolol kemarin kemarin dana bantuan dari kementerian pedesaan diakui kerja nyata partai gerindra kan goblok,abusive,228
pengguna oh kamu dasar bajingan,abusive,229
pengguna maju kamu sini anjing uniform resource locator,abusive,230
pengguna ya angkutan kota lebih goblok,abusive,231
pengguna gue memang lagi diving sarap,abusive,232
pengguna pengguna pengguna pengguna pengguna pengguna pengguna pengguna pengguna pengguna pengguna pengguna pengguna pengguna pengguna pengguna pengguna pengguna pengguna pengguna pengguna pengguna pengguna pengguna pengguna pengguna pengguna pengguna pengguna pengguna pengguna pengguna pengguna pengguna pengguna pengguna pengguna pengguna pengguna pengguna pengguna pengguna pengguna pengguna pengguna pengguna pengguna pengguna pengguna yang pasti bukan perempuan kayak cih pero kamu yang di depan umum sok kalem tetapi di belakang garunsang liar kayak pecun yang sebulan tidak mangkal xf x f xa xa xf x f xa xa xf x f xa xa xf x f xa xa,pelecehan seksual,233
pengguna gue jadi takut teh berteman sama kamu mainnya sama setan wkwk,abusive,234
pengguna kamu tidak seram teh mainnya sama setan wkwk,abusive,235
pengguna pengguna salah orang tuanya dong kak kenapa mereka kampret kalau mereka bukan kampret tidak mungkin menetas kampret xf x f x x,abusive,236
pengguna aku lihat dari cara kamu berbicara kayak nya kamu tidak di sekolahkan bapakmu dan tidak di ajarkan yang baik sama bapak mu memang lah bapak mu bisa nya bikin anak doang ya begini lah jadi nya dapat anak kampret,abusive,237
pengguna duit amp kekuasaan yang bikin orang jadi kampret haduhhh padahal dunia cuma tempat singgah bro xe x x di xef xb x f,abusive,238
pengguna kampret sudah merusak nusantara dari jaman majapahit dan terus berlangsung hingga kini terlebih setelah diwadahi oleh hati rekan dengan ide khilafah,abusive,239
